standard_name,description_brief,external_details_URL,summary
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS,Regulation of TP53 Activity through Association with Co-factors,https://www.reactome.org/content/detail/R-HSA-6804759,"Association of TP53 (p53) with various transcriptional co-factors can promote, inhibit or provide specificity towards either transcription of cell cycle arrest genes or transcription of cell death genes. Binding of the zinc finger protein ZNF385A (HZF), which is a transcriptional target of TP53, stimulates transcription of cell cycle arrest genes, such as CDKN1A (Das et al. 2007). Binding of POU4F1 (BRN3A) to TP53 also stimulates transcription of cell cycle arrest genes while inhibiting transcription of pro-apoptotic genes (Budhram-Mahadeo et al. 1999, Hudson et al. 2005).Binding of ASPP family proteins PPP1R13B (ASPP1) or TP53BP2 (ASPP2) to TP53 stimulates transcription of pro-apoptotic TP53 targets (Samuels-Lev et al. 2001, Bergamaschi et al. 2004). Binding of the ASPP family member PPP1R13L (iASSP) inhibits TP53-mediated activation of pro-apoptotic genes probably by interfering with binding of stimulatory ASPPs to TP53 (Bergamaschi et al. 2003). Transcription of pro-apoptotic genes is also stimulated by binding of TP53 to POU4F2 (BRN3B) (Budrham-Mahadeo et al. 2006, Budhram-Mahadeo et al. 2014) or to hCAS/CSE1L (Tanaka et al. 2007).Binding of co-factors to TP53 can also affect protein stability. For example, PHF20 binds to TP53 dimethylated on lysine residues K370 and K382 by unidentified protein lysine methyltransferase(s) and interferes with MDM2 binding, resulting in prolonged TP53 half-life (Cui et al. 2012). Long noncoding RNAs can contribute to p53-dependent transcriptional responses (Huarte et al. 2010). For a general review on this topic, see Espinosa 2008, Beckerman and Prives 2010, Murray-Zmijewski et al. 2008, An et al. 2004 and Barsotti and Prives 2010. "
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION,Regulation of TP53 Activity through Methylation,https://www.reactome.org/content/detail/R-HSA-6804760,"TP53 (p53) undergoes methylation on several lysine and arginine residues, which modulates its transcriptional activity.PRMT5, recruited to TP53 as part of the ATM-activated complex that includes TTC5, JMY and EP300 (p300), methylates TP53 arginine residues R333, R335 and R337. PRMT5-mediated methylation promotes TP53-stimulated expression of cell cycle arrest genes (Shikama et al. 1999, Demonacos et al. 2001, Demonacos et al. 2004, Adams et al. 2008, Adams et al. 2012). SETD9 (SET9) methylates TP53 at lysine residue K372, resulting in increased stability and activity of TP53 (Chuikov et al. 2004, Couture et al. 2006, Bai et al. 2011).TP53 transcriptional activity is repressed by SMYD2-mediated methylation of TP53 at lysine residue K370 (Huang et al. 2006). Dimethylation of TP53 at lysine residue K373 by the complex of methyltransferases EHMT1 and EHMT2 also represses TP53-mediated transcription (Huang et al. 2010). The chromatin compaction factor L3MBTL1 binds TP53 monomethylated at lysine K382 by SETD8 (SET8) and, probably through changing local chromatin architecture, represses transcription of TP53 targets (West et al. 2010). The histone lysine-specific demethylase LSD1 interacts with TP53 and represses p53-mediated transcriptional activation (Huang et al. 2007). PRMT1 and CARM1 can also modulate p53 functions in a cooperative manner (An et al. 2004). "
REACTOME_KERATINIZATION,Keratinization,https://www.reactome.org/content/detail/R-HSA-6805567,"Keratins are the major structural protein of vertebrate epidermis, constituting up to 85% of a fully differentiated keratinocyte (Fuchs 1995). Keratins belong to a superfamily of intermediate filament (IF) proteins that form alpha-helical coiled-coil dimers, which associate laterally and end-to-end to form approximately 10 nm diameter filaments. Keratin filaments are heteropolymeric, formed from equal amounts of acidic type I and basic /neutral type 2 keratins. Humans have 54 keratin genes (Schweitzer et al. 2006). They have highly specific expression patterns, related to the epithelial type and stage of differentiation. Roughly half of human keratins are specific to hair follicles (Langbein &amp; Schweizer 2005). Keratin filaments bundle into tonofilaments that span the cytoplasm and bind to desmosomes and other cell membrane structures (Waschke 2008). This reflects their primary function, maintaining the mechanical stability of individual cells and epithelial tissues (Moll et al. 2008)."
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,Regulation of TP53 Expression and Degradation,https://www.reactome.org/content/detail/R-HSA-6806003,"TP53 (p53) tumor suppressor protein is a transcription factor that functions as a homotetramer (Jeffrey et al. 1995). The protein levels of TP53 are low in unstressed cells due to MDM2-mediated ubiquitination that triggers proteasome-mediated degradation of TP53 (Wu et al. 1993). The E3 ubiquitin ligase MDM2 functions as a homodimer/homo-oligomer or a heterodimer/hetero-oligomer with MDM4 (MDMX) (Linares et al. 2003, Toledo and Wahl 2007, Cheng et al. 2011, Wade et al. 2013).Activating phosphorylation of TP53 at serine residues S15 and S20 in response to genotoxic stress disrupts TP53 interaction with MDM2. In contrast to MDM2, E3 ubiquitin ligases RNF34 (CARP1) and RFFL (CARP2) can ubiquitinate phosphorylated TP53 (Yang et al. 2007). Binding of MDM2 to TP53 is also inhibited by the tumor suppressor p14-ARF, transcribed from the CDKN2A gene in response to oncogenic signaling or oxidative stress (Zhang et al. 1998, Parisi et al. 2002, Voncken et al. 2005). Ubiquitin-dependant degradation of TP53 can also be promoted by PIRH2 (Leng et al. 2003) and COP1 (Dornan et al. 2004) ubiquitin ligases. HAUSP (USP7) can deubiquitinate TP53, contributing to TP53 stabilization (Li et al. 2002).While post-translational regulation plays a prominent role, TP53 activity is also controlled at the level of promoter function (reviewed in Saldana-Meyer and Recillas-Targa 2011), mRNA stability and translation efficiency (Mahmoudi et al. 2009, Le et al. 2009, Takagi et al. 2005)."
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Metabolism of fat-soluble vitamins,https://www.reactome.org/content/detail/R-HSA-6806667,"Vitamins A, D, E, and K are classified as fat-soluble. Metabolic pathways by which dietary precursors of vitamins A (Harrison 2005) and K (Shearer et al. 2012) are converted to active forms are annotated here. The conversion of 7-dehydrocholesterol is converted to active vitamin D (Dusso et al. 2005) is annotated as part of metabolism of steroids. (Vitamin E (tocopherol) is available in active form from the diet.)"
REACTOME_SIGNALING_BY_MET,Signaling by MET,https://www.reactome.org/content/detail/R-HSA-6806834,"MET is a receptor tyrosine kinase (RTK) (Cooper et al. 1984, Park et al. 1984) activated by binding to its ligand, Hepatocyte growth factor/Scatter factor (HGF/SF) (Bottaro et al. 1991, Naldini et al. 1991). Similar to other related RTKs, such as EGFR, ligand binding induces MET dimerization and trans-autophosphorylation, resulting in the active MET receptor complex (Ferracini et al. 1991, Longati et al. 1994, Rodrigues and Park 1994, Kirchhofer et al. 2004, Stamos et al. 2004, Hays and Watowich 2004). Phosphorylated tyrosines in the cytoplasmic tail of MET serve as docking sites for binding of adapter proteins, such as GRB2, SHC1 and GAB1, which trigger signal transduction cascades that activate PI3K/AKT, RAS, STAT3, PTK2, RAC1 and RAP1 signaling (Ponzetto et al. 1994, Pelicci et al. 1995, Weidner et al. 1995, Besser et al. 1997, Shen and Novak 1997, Beviglia and Kramer 1999, Rodrigues et al. 2000, Sakkab et al. 2000, Schaeper et al. 2000, Lamorte et al. 2002, Wang et al. 2002, Chen and Chen 2006, Palamidessi et al. 2008, Chen et al. 2011, Murray et al. 2014).Activation of PLC gamma 1 (PLCG1) signaling by MET remains unclear. It has been reported that PLCG1 can bind to MET directly (Ponzetto et al. 1994) or be recruited by phosphorylated GAB1 (Gual et al. 2000). Tyrosine residue Y307 of GAB1 that serves as docking sites for PLCG1 may be phosphorylated either by activated MET (Watanabe et al. 2006) or SRC (Chan et al. 2010). Another PCLG1 docking site on GAB1, tyrosine residue Y373, was reported as the SRC target, while the kinase for the main PLCG1 docking site, Y407 of GAB1, is not known (Chan et al. 2010).Signaling by MET promotes cell growth, cell survival and motility, which are essential for embryonic development (Weidner et al. 1993, Schmidt et al. 1995, Uehara et al. 1995, Bladt et al. 1995, Maina et al. 1997, Maina et al. 2001, Helmbacher et al. 2003) and tissue regeneration (Huh et al. 2004, Borowiak et al. 2004, Liu 2004, Chmielowiec et al. 2007). MET signaling is frequently aberrantly activated in cancer, through MET overexpression or activating MET mutations (Schmidt et al. 1997, Pennacchietti et al. 2003, Smolen et al. 2006, Bertotti et al. 2009).Considerable progress has recently been made in the development of HGF-MET inhibitors in cancer therapy. These include inhibitors of HGF activators, HGF inhibitors and MET antagonists, which are protein therapeutics that act outside the cell. Kinase inhibitors function inside the cell and have constituted the largest effort towards MET-based therapeutics (Gherardi et al. 2012).Pathogenic bacteria of the species Listeria monocytogenes, exploit MET receptor as an entryway to host cells (Shen et al. 2000, Veiga and Cossart 2005, Neimann et al. 2007).For review of MET signaling, please refer to Birchmeier et al. 2003, Trusolino et al. 2010, Gherardi et al. 2012, Petrini 2015."
REACTOME_MET_RECEPTOR_ACTIVATION,MET Receptor Activation,https://www.reactome.org/content/detail/R-HSA-6806942,"Hepatocyte growth factor (HGF), the ligand for MET receptor tyrosine kinase (RTK), is secreted into the extracellular matrix (ECM) as an inactive single chain precursor (pro-HGF). The biologically active HGF is the heterodimer of alpha and beta chains that are produced via proteolytic cleavage of pro-HGF by the plasma membrane bound serine protease Hepsin (HPN) (Kirchhofer et al. 2005, Owen et al. 2010) or the ECM-associated serine protease Hepatocyte growth factor activator (HGFAC, commonly known as HGFA) (Shia et al. 2005). HGF binds to the extracellular SEMA and PSI domains of MET RTK, inducing a conformational change that enables MET dimerization or oligomerization (Kirchhofer et al. 2004, Stamos et al. 2004, Hays and Watowich 2004, Gherardi et al. 2006). MET dimers trans-autophosphorylate on tyrosine residues in the activation loop, leading to increased kinase activity, and on tyrosine residues at the cytoplasmic tail that serve as docking sites for adapter proteins involved in MET signal transduction (Ferracini et al. 1991, Longati et al. 1994, Rodrigues and Park 1994, Ponzetto et al. 1994).CD44v6 was implicated as a MET co-receptor, but its role has been disputed (Orian-Rousseau et al. 2002, Dortet et al. 2010, Olaku et al. 2011, Hasenauer et al. 2013, Elliot et al. 2014)."
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY,Negative regulation of MET activity,https://www.reactome.org/content/detail/R-HSA-6807004,"Signaling by MET receptor is negatively regulated mainly by MET receptor dephosphorylation or MET receptor degradation. Protein tyrosine phosphatase PTPRJ dephosphorylates MET tyrosine residue Y1349, thus removing the docking site for the GAB1 adapter (Palka et al. 2003). Protein tyrosine phosphatases PTPN1 and PTPN2 dephosphorylate MET tyrosines Y1234 and Y1235 in the kinase activation loop, thus attenuating catalytic activity of MET (Sangwan et al. 2008). The E3 ubiquitin ligase CBL promotes ubiquitination of the activated MET receptor and subsequent MET degradation. CBL contains a RING finger domain that engages E2 protein ubiquitin ligases to mediate ubiquitination of MET, which may occur at the cell membrane or in the early endocytic compartment. Ubiquitinated MET is degraded in a late endosomal or lysosomal compartment in a proteasome-dependent manner. The involvement of proteasome in MET degradation seems to be indirect, through an effect on MET endocytic trafficking (Jeffers et al. 1997, Peschard et al. 2001, Hammond et al. 2001, Petrelli et al. 2002). LRIG1 promotes lysosome-dependent degradation of MET in the absence of HGF-mediated activation (Lee et al. 2014, Oh et al. 2014).MET-mediated activation of RAS signaling is inhibited by MET receptor binding to MUC20 (Higuchi et al. 2004) or RANBP10 (Wang et al. 2004)."
REACTOME_PTEN_REGULATION,PTEN Regulation,https://www.reactome.org/content/detail/R-HSA-6807070,"PTEN is regulated at the level of gene transcription, mRNA translation, localization and protein stability.Transcription of the PTEN gene is regulated at multiple levels. Epigenetic repression involves the recruitment of Mi-2/NuRD upon SALL4 binding to the PTEN promoter (Yang et al. 2008, Lu et al. 2009) or EVI1-mediated recruitment of the polycomb repressor complex (PRC) to the PTEN promoter (Song et al. 2009, Yoshimi et al. 2011). Transcriptional regulation is also elicited by negative regulators, including NR2E1:ATN1 (atrophin-1) complex, JUN (c-Jun), SNAIL and SLUG (Zhang et al. 2006, Vasudevan et al. 2007, Escriva et al. 2008, Uygur et al. 2015) and positive regulators such as TP53 (p53), MAF1, ATF2, EGR1 or PPARG (Stambolic et al. 2001, Virolle et al. 2001, Patel et al. 2001, Shen et al. 2006, Li et al. 2016).MicroRNAs miR-26A1, miR-26A2, miR-22, miR-25, miR-302, miR-214, miR-17-5p, miR-19 and miR-205 bind PTEN mRNA and inhibit its translation into protein. These microRNAs are altered in cancer and can account for changes in PTEN levels (Meng et al. 2007, Xiao et al. 2008, Yang et al. 2008, Huse et al. 2009, Kim et al. 2010, Poliseno, Salmena, Riccardi et al. 2010, Cai et al. 2013). In addition, coding and non-coding RNAs can prevent microRNAs from binding to PTEN mRNA. These RNAs are termed competing endogenous RNAs or ceRNAs. Transcripts of the pseudogene PTENP1 and mRNAs transcribed from SERINC1, VAPA and CNOT6L genes exhibit this activity (Poliseno, Salmena, Zhang et al. 2010, Tay et al. 2011, Tay et al. 2014).PTEN can translocate from the cytosol to the nucleus after undergoing monoubiquitination. PTEN's ability to localize to the nucleus contributes to its tumor suppressive role (Trotman et al. 2007). The ubiquitin protease USP7 (HAUSP) targets monoubiquitinated PTEN in the nucleus, resulting in PTEN deubiquitination and nuclear exclusion. PML, via an unknown mechanism that involves USP7- and PML-interacting protein DAXX, inhibits USP7-mediated deubiquitination of PTEN, thus promoting PTEN nuclear localization. Disruption of PML function in acute promyelocytic leukemia, through a chromosomal translocation that results in expression of a fusion protein PML-RARA, leads to aberrant PTEN localization (Song et al. 2008).Several ubiquitin ligases, including NEDD4, WWP2, STUB1 (CHIP), RNF146, XIAP and MKRN1, polyubiquitinate PTEN and target it for proteasome-mediated degradation (Wang et al. 2007, Van Themsche et al. 2009, Ahmed et al. 2011, Maddika et al. 2011, Lee et al. 2015, Li et al. 2015). The ubiquitin proteases USP13 and OTUD3, frequently down-regulated in breast cancer, remove polyubiquitin chains from PTEN, thus preventing its degradation and increasing its half-life (Zhang et al. 2013, Yuan et al. 2015). The catalytic activity of PTEN is negatively regulated by PREX2 binding (Fine et al. 2009, Hodakoski et al. 2014) and TRIM27-mediated ubiquitination (Lee et al. 2013), most likely through altered PTEN conformation.In addition to ubiquitination, PTEN also undergoes SUMOylation (Gonzalez-Santamaria et al. 2012, Da Silva Ferrada et al. 2013, Lang et al. 2015, Leslie et al. 2016). SUMOylation of the C2 domain of PTEN may regulate PTEN association with the plasma membrane (Shenoy et al. 2012) as well as nuclear localization of PTEN (Bassi et al. 2013, Collaud et al. 2016). PIASx-alpha, a splicing isorom of E3 SUMO-protein ligase PIAS2 has been implicated in PTEN SUMOylation (Wang et al. 2014). SUMOylation of PTEN may be regulated by activated AKT (Lin et al. 2016). Reactions describing PTEN SUMOylation will be annotated when mechanistic details become available.Phosphorylation affects the stability and activity of PTEN. FRK tyrosine kinase (RAK) phosphorylates PTEN on tyrosine residue Y336, which increases PTEN half-life by inhibiting NEDD4-mediated polyubiquitination and subsequent degradation of PTEN. FRK-mediated phosphorylation also increases PTEN enzymatic activity (Yim et al. 2009). Casein kinase II (CK2) constitutively phosphorylates the C-terminal tail of PTEN on serine and threonine residues S370, S380, T382, T383 and S385. CK2-mediated phosphorylation increases PTEN protein stability (Torres and Pulido 2001) but results in ~30% reduction in PTEN lipid phosphatase activity (Miller et al. 2002).PTEN localization and activity are affected by acetylation of its lysine residues (Okumura et al. 2006, Ikenoue et al. 2008, Meng et al. 2016). PTEN can undergo oxidation, which affects its function, but the mechanism is poorly understood (Tan et al. 2015, Shen et al. 2015, Verrastro et al. 2016)."
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,RNA polymerase II transcribes snRNA genes,https://www.reactome.org/content/detail/R-HSA-6807505,"Small nuclear RNAs (snRNAs) play key roles in splicing and some of them, specifically the U1 and U2 snRNAs, are encoded by multicopy snRNA gene clusters containing tandem arrays of genes, about 30 in the RNU1 cluster (Bernstein et al. 1985) and about 10-20 in the RNU2 cluster (Van Ardsell and Weiner 1984). Whereas U6 snRNA genes are transcribed by RNA polymerase III, U1,U2, U4, U4atac, U5, U11, and U12 genes are transcribed by RNA polymerase II. Transcription of the U1 and U2 genes has been most extensively studied and the other snRNA genes as well as other genes with similar promoter structures, for example the SNORD13 gene, are inferred to be transcribed by similar reactions. The snRNA genes transcribed by RNA polymerase II are distinguished from mRNA-encoding genes by the presence of a proximal sequence element (PSE) rather than a TATA box and the presence of the Integrator complex rather than the Mediator complex (reviewed in Egloff et al. 2008, Jawdeker and Henry 2008).The snRNA genes are among the most rapidly transcribed genes in the genome. The 5' transcribed region of the U2 snRNA gene is largely single-stranded during interphase and metaphase (Pavelitz et al. 2008) and chromatin within the transcribed region is cleared of nucleosomes (O'Reilly et al. 2014). Transcriptional activation of the RNA polymerase II transcribed snRNA genes begins with binding of transcription factors to the distal sequence element (DSE) of the promoter (reviewed in Hernandez 2001, Egloff et al. 2008, Jawdeker and Henry 2008). The factors, which include POU2F1 (Oct-1), POU2F2 (Oct-2), ZNF143 (Staf) and Sp1, promote binding of the SNAPc complex (also known as PTF and PBP) to the PSE. SNAPc helps clear the gene of nucleosomes (O'Reilly et al. 2014) and recruits initiation factors (TFIIA, TFIIB, TFIIE, TFIIF, and snTAFc:TBP) which recruit RNA polymerase II. Phosphorylation of the C-terminal domain (CTD) of RNA polymerase II (reviewed in Egloff and Murphy 2008) by CDK7 recruits RPAP2 and the Integrator complex, which is required for later processing of the 3' end of the pre-snRNA transcript (reviewed in Chen and Wagner 2010, Baillat and Wagner 2015). The Little Elongation Complex (LEC) also appears to bind around the time of transcription initiation (Hu et al. 2013). As transcription proceeds, RPAP2 dephosphorylates serine-5 and P-TEFb phosphorylates serine-2 of the CTD. As transcription reaches the end of the snRNA gene serine-7 of the CTD is phosphorylated. These marks serve to bind protein complexes and are required for 3' processing of the pre-snRNA (reviewed in Egloff and Murphy 2008). After transcription proceeds through the conserved 3' processing sequence of the pre-snRNA the Integrator complex cleaves the pre-snRNA. Transcription then terminates downstream in a less well characterized reaction that requires elements of the polyadenylation system."
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,COPI-mediated anterograde transport,https://www.reactome.org/content/detail/R-HSA-6807878,"The ERGIC (ER-to-Golgi intermediate compartment, also known as vesicular-tubular clusters, VTCs) is a stable, biochemically distinct compartment located adjacent to ER exit sites (Ben-Tekaya et al, 2005; reviewed in Szul and Sztul, 2011).  The ERGIC concentrates COPII-derived cargo from the ER for further anterograde transport to the cis-Golgi and also recycles resident ER proteins back to the ER through retrograde traffic.  Both of these pathways appear to make use of microtubule-directed COPI-coated vesicles (Pepperkok et al, 1993; Presley et al, 1997; Scales et al, 1997; Stephens and Pepperkok, 2002; Stephens et al, 2000; reviewed in Lord et al, 2001; Spang et al, 2013)."
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,Formation of the cornified envelope,https://www.reactome.org/content/detail/R-HSA-6809371,"As keratinocytes progress towards the upper epidermis, they undergo a unique process of cell death termed cornification (Eckhart et al. 2013). This involves the crosslinking of keratinocyte proteins such as loricrin and involucrin by transglutaminases and the breakdown of the nucleus and other organelles by intracellular and secreted proteases (Eckhart et al. 2000, Denecker et al. 2008). This process is strictly regulated by the Ca2+ concentration gradient in the epidermis (Esholtz et al. 2014). Loricrin and involucrin are encoded in ‘Epidermal Differentiation Complex’ linked to a large number of genes encoding nonredundant components of the CE (Kypriotou et al. 2012, Niehues et al. 2016). Keratinocytes produce specialized proteins and lipids which are used to construct the cornified envelope (CE), a heavily crosslinked submembranous layer that confers rigidity to the upper epidermis, allows keratin filaments to attach to any location in the cell membrane (Kirfel et al. 2003) and acts as a water-impermeable barrier. The CE has two functional parts: covalently cross-linked proteins (10 nm thick) that comprise the backbone of the envelope and covalently linked lipids (5 nm thick) that coat the exterior (Eckert et al. 2005). Desmosomal components are crosslinked to the CE to form corneodesmosomes, which bind cornified cells together (Ishida-Yamamoto et al. 2011). Mature terminally differentiated cornified cells consist mostly of keratin filaments covalently attached to the CE embedded in lipid lamellae (Kalinin et al. 2002). The exact composition of the cornified envelope varies between epithelia (Steinert et al. 1998); the relative amino-acid composition of the proteins used may determine differential mechanical properties (Kartasova et al. 1996)."
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,COPI-dependent Golgi-to-ER retrograde traffic,https://www.reactome.org/content/detail/R-HSA-6811434,"Retrograde traffic from the cis-Golgi to the ERGIC or the ER is mediated in part by microtubule-directed COPI-coated vesicles (Letourneur et al, 1994; Shima et al, 1999; Spang et al, 1998; reviewed in Lord et al, 2013; Spang et al, 2013). These assemble at the cis side of the Golgi in a GBF-dependent fashion and are tethered at the ER by the ER-specific SNAREs and by the conserved NRZ multisubunit tethering complex, known as DSL in yeast (reviewed in Tagaya et al, 2014; Hong and Lev, 2014). Typical cargo of these retrograde vesicles includes 'escaped' ER chaperone proteins, which are recycled back to the ER for reuse by virtue of their interaction with the Golgi localized KDEL receptors (reviewed in Capitani and Sallese, 2009; Cancino et al, 2013)."
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,COPI-independent Golgi-to-ER retrograde traffic,https://www.reactome.org/content/detail/R-HSA-6811436,"In addition to the better characterized COPI-dependent retrograde Golgi-to-ER pathway, a second COPI-independent pathway has also been identified.  This pathway is RAB6 dependent and transports cargo such as glycosylation enzymes and Shiga and Shiga-like toxin through tubular carriers rather than vesicles (White et al, 1999; Girod et al, 1999; reviewed in Heffernan and Simpson, 2014).  In the absence of a COPI coat, the membrane curvature necessary to initiate tubulation may be provided through the action of phospholipase A, which hydrolyzes phospholipids at the sn2 position to yield lysophospholipids. This activity is countered by lysophospholipid acyltransferases, and the balance of these may influence whether transport tubules or transport vesicles form (de Figuiredo et al, 1998; reviewed in Bechler et al, 2012). RAB6-dependent tubules also depend on the dynein-dynactin motor complex and the hoomodimeric Bicaudal proteins (Matanis et al, 2002; Yamada et al, 2013; reviewed in Heffernan and Simpson, 2014)."
REACTOME_INTRA_GOLGI_TRAFFIC,Intra-Golgi traffic,https://www.reactome.org/content/detail/R-HSA-6811438,"The mammalian Golgi consists of at least three biochemically distinct cisternae, cis-, medial- and trans (reviewed in Szul and Sztul, 2011; Day et al, 2013). The structure and function of the Golgi are tightly interconnected, such that proteins that are required for protein transport through the Golgi are often also required for the organization of the Golgi stacks, and vice versa (reviewed in Liu and Storrie, 2012; Liu and Storrie, 2015; Chia and Gleeson, 2014; Munro, 2011). Newly synthesized proteins from the ER and ERGIC are received at the cis face of the Golgi and flow through to the trans-Golgi before being released to the trans-Golgi network (TGN) for further secretion to the endolysosomal system, plasma membrane or extracellular region.  Retrograde flow from the trans- to cis-cisternae moves endocytosed cargo from the extracellular region, the plasma membrane and the endolysosomal system back towards the ER. Intra-Golgi retrograde traffic also returns resident Golgi proteins to their appropriate cisternae, in this way facilitating cisternal remodeling or maturation (reviewed in Boncompain and Perez, 2013; Day et al, 2013).  Intra-Golgi traffic in both directions is mediated by COPI carriers, with specificity of transport being determined at least in part by the complement of SNAREs, RABs and tethering proteins involved (reviewed in Szul and Sztul, 2011; Spang 2013; Willet et al, 2013; Chia and Gleeson, 2014)."
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,Retrograde transport at the Trans-Golgi-Network,https://www.reactome.org/content/detail/R-HSA-6811440,"The trans-Golgi network is the docking site for retrograde cargo from the endolysosomal system and the plasma membrane.  Typical cargo includes recycling resident TGN proteins such as TGOLN2 (also known as TGN46), receptors such as the mannose-6-phosphate receptors and toxins like Shiga, cholera and ricin which use the retrograde trafficking machinery to 'hitchhike' back through the secretory system for release into the cytoplasm (reviewed in Johannes and Popoff, 2008; Pfeffer, 2011; Sandvig et al, 2013).  These cargo are trafficked from the endocytic system in a clathrin- and AP1-dependent manner that is described in more detail in the ""Trans-Golgi network budding pathway"" (just not yet). In general, it appears that vesicles are uncoated prior to their tethering and fusion at the TGN.  At the TGN, at least 2 distinct tethering pathways exist. A RAB6-dependent pathway contributes to the fusion and docking of vesicles from the early endocytic pathway.  These vesicles, which carry cargo such as TGOLN2 and toxins, dock at the TGN through interactions with TGN-localized Golgin tethers and with the multisubunit tethering complexes COG and GARP (reviewed in Bonafacino and Rojas, 2006; Bonafacino and Hierro, 2011; Pfeffer, 2011). In contrast, mannose-6-phosphate receptors appear to traffic from late endosomes to the TGN through a RAB9- and PLIN3-dependent pathway.  Vesicles are recruited to the TGN through interaction of RAB9 with the atypical RHO GTPase RHOBTB3, and tethered by virtue of interaction with TGN-localized Golgins and the GARP complex (Perez-Victoria et al, 2008; Perez-Victoria et al, 2009; Diaz et al, 1999; reviewed in Pfeffer, 2011; Chia and Gleeson, 2014)"
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Intra-Golgi and retrograde Golgi-to-ER traffic,https://www.reactome.org/content/detail/R-HSA-6811442,"The mammalian Golgi complex, a central hub of both anterograde and retrograde trafficking, is a ribbon of stacked cisterna with biochemically distinct compartments (reviewed in Glick and Nakano, 2009; Szul and Sztul, 2011). Anterograde cargo from the ERGIC and ER is received at the cis-Golgi, trafficked through the medial- and trans-Golgi and released through the trans-Golgi network (TGN) to the endolysosomal system and the plasma membrane. Although still under debate, current models of Golgi trafficking favour the cisternal maturation model, where anterograde cargo remain associated with their original lipid membrane during transit through the Golgi and are exposed to sequential waves of processing enzymes by the retrograde movement of Golgi resident proteins. In this way, cis-cisterna mature to medial- and trans-cisterna as the early acting Golgi enzymes are replaced by later acting ones (reviewed in Pelham, 2001; Storrie, 2005; Glick and Nakano, 2009; Szul and Sztul, 2011).  More recently. a kiss-and-run (KAR) model for intra-Golgi trafficking has been proposed, which marries aspects of the cisternal maturation model with a diffusion model of transport (reviewed in Mironov et al, 2103).Like the anterograde ERGIC-to Golgi transport step,  intra-Golgi trafficking between the cisterna appears to be COPI-dependent (Storrie and Nilsson, 2002; Szul and Sztul, 2011). Numerous snares and tethering complexes contribute to the targeting and fusion events that are required to maintain the specificity and directionality of these trafficking events (reviewed in Chia and Gleeson, 2014).  Golgi tethers include long coiled coiled proteins like the Golgins, as well as multisubunit tethers like the COG complex.  These tethers make numerous interactions with other components of the secretory system including RABs, SNAREs, motor and coat proteins as well as components of the cytoskeleton (reviewed in Munro, 2011; Willet et al, 2013). Retrograde traffic from the cis-Golgi back to the ERGIC and ER depends on both the COPI-dependent pathway, which  appears to be important for recyling of KDEL receptors, and a more recently described COPI-independent pathway that relies on RAB6 (reviewed in Szul and Sztul, 2011; Heffernan and Simpson, 2014). RAB6 and RAB9 also play roles at the TGN side of the Golgi, where they are implicated in the docking of vesicles derived from the endolysosomal system and the plasma membrane (reviewed in Pfeffer, 2011)"
REACTOME_PI5P_REGULATES_TP53_ACETYLATION,PI5P Regulates TP53 Acetylation,https://www.reactome.org/content/detail/R-HSA-6811555,"Under conditions of cellular stress, nuclear levels of phosphatidylinositol-5-phosphate (PI5P) increase and, through interaction with ING2, result in nuclear retention/accumulation of ING2. ING2 binds TP53 (p53) and recruits histone acetyltransferase EP300 (p300) to TP53, leading to TP53 acetylation. Increased nuclear PI5P levels positively regulate TP53 acetylation (Ciruela et al. 2000, Gozani et al. 2003, Jones et al. 2006, Zou et al. 2007, Bultsma et al. 2010)."
